monster,specie,ac,level,hd,speed,str,dex,con,int,wis,cha,proficiencies,natw-name,natw-damages,natw-damage-type,attributes,natw-property,natw-amp,natw-propParamName,natw-propParamValue,action,action-script,action-cooldown,action-charges,action-range,action-bonus,action-hostile,action-param-key,action-param-value,traits,def-property,def-amp,def-propParamName,def-propParamValue,equipment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wpn-short-spear
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-chimera,monstrosity,4,12,10,30,19,11,19,3,14,10,,bite,2d6,piercing,,ailment,1d4,ailment,AILMENT_POISON,act-elemental-breath,ca-elemental-breath,6,,15,FALSE,TRUE,damageType,DAMAGE_TYPE_FIRE,,attack-count-modifier,2,,,
,,,,,,,,,,,,,,,,,,,savingThrowAbility,ABILITY_CONSTITUTION,,,,,,,,amount,7d8,,,,,,
,,,,,,,,,,,,,,,,,,,savingThrowThreat,THREAT_TYPE_POISON,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,duration,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,claws,2d6,slashing,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,horns,1d14,crushing,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-cockatrice,monstrosity,0,6,6,20,6,12,12,2,13,5,,bite,1d4,piercing,,ailment,,ailment,AILMENT_PETRIFICATION,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,savingThrowAbility,ABILITY_CONSTITUTION,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,savingThrowThreat,THREAT_TYPE_PETRIFICATION,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-dragon-red,dragon,9,19,12,40,27,10,25,16,13,21,,bite,2d10,piercing,,damage-modifier,4d6,damageType,DAMAGE_TYPE_FIRE,act-elemental-breath,ca-elemental-breath,6,,60,FALSE,TRUE,damageType,DAMAGE_TYPE_FIRE,,damage-immunity,,damageType,DAMAGE_TYPE_FIRE,
,,,,,,,,,,,,,claws,2d6,slashing,,,,,,,,,,,,,amount,18d6,,darkvision,,,,
,,,,,,,,,,,,,tail,2d8,crushing,reach,,,,,act-frightful-roar,ca-frightful-presence,6,,60,FALSE,TRUE,,,,attack-count-modifier,2,,,
,,,,,,,,,,,,,,,,,,,,,act-wing-buffet,ca-wing-buffet,6,,20,FALSE,TRUE,amount,2d6+8,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-dragon-red-ancient,dragon,12,28,20,40,30,10,29,18,15,23,,bite,2d10,piercing,,damage-modifier,4d6,damageType,DAMAGE_TYPE_FIRE,act-elemental-breath,ca-elemental-breath,6,,90,FALSE,TRUE,damageType,DAMAGE_TYPE_FIRE,,damage-immunity,,damageType,DAMAGE_TYPE_FIRE,
,,,,,,,,,,,,,claws,2d6,slashing,,,,,,,,,,,,,amount,26d6,,darkvision,,,,
,,,,,,,,,,,,,tail,2d8,crushing,reach,,,,,act-frightful-roar,ca-frightful-presence,6,,60,FALSE,TRUE,,,,attack-count-modifier,2,,,
,,,,,,,,,,,,,,,,,,,,,act-wing-buffet,ca-wing-buffet,6,,20,FALSE,TRUE,amount,2d6+10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-gargoyle,elemental,5,7,8,30,15,11,16,6,11,7,,claws,1d6,slashing,,,,,,,,,,,,,,,,immunity,,immunityType,IMMUNITY_TYPE_PETRIFICATION,
,,,,,,,,,,,,,bite,1d6,piercing,,,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attack-count-modifier,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-ghast,undead,0,8,8,30,16,17,10,11,10,8,,claws,2d6,slashing,,ailment,,ailment,AILMENT_PARALYSIS,act-stench,ca-stench,2,,10,FALSE,TRUE,,,cp-undead-corporeal,,,,,
,,,,,,,,,,,,,,,,,,,savingThrowAbility,ABILITY_CONSTITUTION,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,savingThrowThreat,THREAT_TYPE_PARALYSIS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,duration,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bite,2d8,piercing,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-ghoul,undead,0,5,8,30,13,15,10,7,10,6,,bite,2d6,piercing,,,,,,,,,,,,,,,cp-undead-corporeal,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,claws,2d4,slashing,,ailment,,ailment,AILMENT_PARALYSIS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,savingThrowAbility,ABILITY_CONSTITUTION,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,savingThrowThreat,THREAT_TYPE_PARALYSIS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,duration,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-ghost,undead,0,10,8,10,7,13,10,10,12,17,,touch,4d6,withering,,,,,,act-horrifying-visage,ca-frightful-glare,6,,60,FALSE,TRUE,,,cp-undead-ethereal,damage-resistance,,damageType,DAMAGE_TYPE_FIRE,
,,,,,,,,,,,,,,,,,,,,,act-elemental-breath,ca-elemental-breath,6,,90,FALSE,TRUE,damageType,DAMAGE_TYPE_COLD,,damage-resistance,,damageType,DAMAGE_TYPE_ACID,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,amount,10d6,,damage-resistance,,damageType,DAMAGE_TYPE_ELECTRICITY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-goblin,humanoid,0,2,6,30,15,14,14,12,10,9,,,,,,,,,,,,,,,,,,,,darkvision,,,,wpn-short-sword
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wpn-short-bow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ammo-arrow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arm-leather
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shd-small
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-goblin-warrior,humanoid,0,3,6,30,16,16,16,12,10,9,,,,,,,,,,,,,,,,,,,,darkvision,,,,wpn-short-sword-hq
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wpn-short-bow-hq
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ammo-arrow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arm-leather
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shd-small
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-golem-clay,construct,4,14,10,20,20,9,18,3,8,1,,slam,2d10,crushing,,,,,,,,,,,,,,,cp-construct-mineral,armor-class-modifier,2,damageType,DAMAGE_TYPE_SLASHING,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,armor-class-modifier,2,damageType,DAMAGE_TYPE_PIERCING,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,damage-immunity,,damageType,DAMAGE_TYPE_ACID,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attack-count-modifier,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-golem-iron,construct,10,20,10,30,24,9,20,3,11,1,,slam,2d10,crushing,,,,,,act-poison-breath,ca-poison-aoe,6,,15,FALSE,TRUE,amount,10d8,cp-construct-metal,damage-immunity,,damageType,DAMAGE_TYPE_FIRE,
,,,,,,,,,,,,,sword,3d10,slashing,,,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attack-count-modifier,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-golem-flesh,construct,0,11,8,30,19,9,18,6,10,5,,slam,2d10,crushing,,,,,,,,,,,,,,,cp-construct-organic,damage-immunity,,damageType,DAMAGE_TYPE_ELECTRICITY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,damage-vulnerability,,damageType,DAMAGE_TYPE_FIRE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attack-count-modifier,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-golem-stone,construct,8,17,10,30,22,9,20,3,11,9,,slam,2d10,crushing,,,,,,,,,,,,,,,cp-construct-mineral,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attack-count-modifier,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-golem-bronze,construct,8,15,10,30,18,9,20,3,11,1,,slam,2d10,crushing,,damage-modifier,1d6,damageType,DAMAGE_TYPE_FIRE,,,,,,,,,,cp-construct-metal,spike-damage,1d6,damageType,DAMAGE_TYPE_FIRE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,savingThrowAbility,ABILITY_DEXTERITY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,savingThrowThreat,THREAT_TYPE_FIRE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maxDistance,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,damage-immunity,,damageType,DAMAGE_TYPE_FIRE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attack-count-modifier,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-gorgon,monstrosity,9,12,10,40,20,11,18,2,12,7,,hooves,2d10,crushing,,,,,,act-petrifying-breath,ca-petrifying-vapor,6,,30,FALSE,TRUE,,,,immunity,,immunityType,IMMUNITY_TYPE_PETRIFICATION,
,,,,,,,,,,,,,gore,2d12,piercing,,,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-griffon,monstrosity,2,7,10,30,20,11,18,2,12,7,skill-perception,beak,1d8,piercing,,,,,,,,,,,,,,,,attack-count-modifier,1,,,
,,,,,,,,,,,,,claws,2d6,slashing,,,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-harpy,monstrosity,0,7,8,40,12,13,12,7,10,13,,claws,2d4,slashing,,,,,,act-luring-song,ca-charm-chant,6,,300,FALSE,TRUE,,,,attack-count-modifier,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-hippogriff,monstrosity,0,3,10,40,17,13,13,2,12,8,skill-perception,beak,1d10,piercing,,,,,,,,,,,,,,,,attack-count-modifier,1,,,
,,,,,,,,,,,,,claws,2d6,slashing,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-hydra,monstrosity,4,15,12,30,20,12,20,2,10,7,,bite,1d10,piercing,,,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-manticore,monstrosity,1,8,10,30,17,16,17,7,12,8,,bite,1d8,piercing,,,,,,,,,,,,,,,,attack-count-modifier,2,,,
,,,,,,,,,,,,,claws,1d6,slashing,,,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,spike,1d8,piercing,ranged,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-medusa,monstrosity,3,17,8,30,10,15,16,12,13,15,,snake-hair,1d4+2,piercing,,damage-modifier,4d6,damageType,DAMAGE_TYPE_POISON,act-petrifying-gaze,ca-petrifying-gaze,2,,30,FALSE,TRUE,,,,attack-count-modifier,2,,,wpn-short-sword
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,darkvision,,,,wpn-long-bow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ammo-arrow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-minotaur,monstrosity,4,9,10,40,18,11,16,6,16,9,,gore,2d8,piercing,,,,,,act-charge,ca-charge,,,80,FALSE,TRUE,amount,2d8,,darkvision,,,,wpn-great-axe
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-mummy,undead,2,9,8,20,16,8,15,6,10,12,,rotting-fist,2d6,crushing,,damage-modifier,3d6,damageType,DAMAGE_TYPE_WITHERING,act-dreadful-glare,ca-frightful-glare,6,,60,FALSE,TRUE,,,cp-undead-corporeal,saving-throw-modifier,2,ability,ABILITY_WISDOM,
,,,,,,,,,,,,,,,,,ailment,,disease,DISEASE_MUMMY_ROT,,,,,,,,,,,damage-vulnerability,,damageType,DAMAGE_TYPE_FIRE,
,,,,,,,,,,,,,,,,,,,ailment,AILMENT_DISEASE,,,,,,,,,,,damage-immunity,,damageType,DAMAGE_TYPE_WITHERING,
,,,,,,,,,,,,,,,,,,,savingThrowAbility,ABILITY_CONSTITUTION,,,,,,,,,,,attack-count-modifier,1,,,
,,,,,,,,,,,,,,,,,,,savingThrowThreat,THREAT_TYPE_DISEASE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-ogre,giant,0,7,10,40,19,8,16,5,7,7,,great-club,2d8,piercing,reach,,,,,,,,,,,,,,,darkvision,,,,arm-hide
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-orc,humanoid,0,2,8,30,16,12,16,7,11,10,,,,,,,,,,,,,,,,,,,,darkvision,,,,wpn-great-axe
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-rat-giant,beast,0,2,6,30,7,15,11,10,2,4,,bite,1d6,piercing,,ailment,,disease,DISEASE_RAT_SICKNESS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,ailment,AILMENT_DISEASE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-skeleton,undead,0,2,8,30,10,14,15,6,8,5,,,,,,,,,,,,,,,,,,,cp-undead-skeleton,,,,,arm-studded-leather
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wpn-short-sword
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wpn-short-bow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ammo-arrow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-skeleton-warrior,undead,0,4,8,30,10,14,15,6,8,5,,,,,,,,,,,,,,,,,,,cp-undead-skeleton,,,,,arm-chain-shirt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wpn-short-sword-hq
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wpn-short-bow-hq
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ammo-arrow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-deva,celestial,3,16,8,30,18,18,18,17,20,20,saving-throw-wisdom,,,,,,,,,act-heal,ca-heal,6,,100,TRUE,FALSE,,,cp-celestial,attack-count-modifier,1,,,wpn-mace-deva
,,,,,,,,,,,,saving-throw-charisma,,,,,,,,,,,,,,,,,,cp-hard-skin,,,,,arm-splint
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-succubus,fiend,2,12,8,30,8,17,13,15,12,20,,claws,1d6,slashing,finesse,,,,,act-charm,ca-stunning-glare,6,,30,FALSE,TRUE,,,cp-fiend,thinker,,combat,thinker-succubus,
,,,,,,,,,,,,,,,,,,,,,act-draining-kiss,ca-draining-kiss,3,,5,FALSE,TRUE,amount,5d10,,damage-resistance,,damageType,DAMAGE_TYPE_ELECTRICITY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,damage-resistance,,damageType,DAMAGE_TYPE_COLD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-vampire,undead,2,17,8,30,18,18,18,17,15,18,saving-throw-wisdom,strike,1d8,crushing,finesse,,,,,act-charm,ca-stunning-glare,6,,30,FALSE,TRUE,,,cp-undead-corporeal,regeneration,20,vulnerabilities,"[""DAMAGE_TYPE_RADIANT""]",
,,,,,,,,,,,,saving-throw-charisma,,,,,,,,,act-vampire-bite,ca-vampiric-bite,3,,5,FALSE,TRUE,,,,,,,,
,,,,,,,,,,,,saving-throw-dexterity,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-troll,giant,4,8,10,30,18,13,20,7,9,7,,claws,2d6,slashing,,,,,,,,,,,,,,,,regeneration,10,vulnerabilities,"[""DAMAGE_TYPE_FIRE"", ""DAMAGE_TYPE_ACID""]",
,,,,,,,,,,,,,bite,1d6,piercing,,,,,,,,,,,,,,,,attack-count-modifier,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
