id,specie,size,ac,body,senses,mind,presence,proficiency,natw-name,natw-damages,natw-damage-type,natw-attribute,natw-property,natw-amp,natw-paramName,natw-paramValue,action,action-script,action-cooldown,action-charges,action-range,action-bonus,action-hostile,traits,def-property,def-amp,def-paramName,def-paramValue,equipment
,,,,,,,,,,,,,,,savingThrowThreat,THREAT_TYPE_PARALYSIS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,duration,3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-ghost,undead,,0,8,13,11,15,,touch,4d6,withering,,,,,,act-horrifying-visage,ca-frightful-glare,6,,60,FALSE,TRUE,cp-undead-ethereal,damage-resistance,,damageType,DAMAGE_TYPE_FIRE,
,,,,,,,,,,,,,,,,,act-elemental-breath,ca-elemental-breath,6,,90,FALSE,TRUE,,damage-resistance,,damageType,DAMAGE_TYPE_ACID,
,,,,,,,,,,,,,,,,,,,,,,,,,damage-resistance,,damageType,DAMAGE_TYPE_ELECTRICITY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-goblin,humanoid,,0,15,14,11,9,,,,,,,,,,,,,,,,,,darkvision,,,,wpn-short-sword
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wpn-short-bow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ammo-arrow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arm-leather
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shd-small
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-goblin-warrior,humanoid,,0,16,16,11,9,,,,,,,,,,,,,,,,,,darkvision,,,,wpn-short-sword-hq
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wpn-short-bow-hq
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ammo-arrow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arm-leather
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shd-small
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-golem-clay,construct,,4,19,9,5,3,,slam,2d10,crushing,,,,,,,,,,,,,cp-construct-mineral,armor-class-modifier,2,damageType,DAMAGE_TYPE_SLASHING,
,,,,,,,,,,,,,,,,,,,,,,,,,armor-class-modifier,2,damageType,DAMAGE_TYPE_PIERCING,
,,,,,,,,,,,,,,,,,,,,,,,,,damage-immunity,,damageType,DAMAGE_TYPE_ACID,
,,,,,,,,,,,,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,attack-count-modifier,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-golem-iron,construct,,10,23,9,6,4,,slam,2d10,crushing,,,,,,act-poison-breath,ca-poison-aoe,6,,15,FALSE,TRUE,cp-construct-metal,damage-immunity,,damageType,DAMAGE_TYPE_FIRE,
,,,,,,,,,sword,3d10,slashing,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,attack-count-modifier,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-golem-flesh,construct,,0,19,9,7,7,,slam,2d10,crushing,,,,,,,,,,,,,cp-construct-organic,damage-immunity,,damageType,DAMAGE_TYPE_ELECTRICITY,
,,,,,,,,,,,,,,,,,,,,,,,,,damage-vulnerability,,damageType,DAMAGE_TYPE_FIRE,
,,,,,,,,,,,,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,attack-count-modifier,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-golem-stone,construct,,8,21,9,6,10,,slam,2d10,crushing,,,,,,,,,,,,,cp-construct-mineral,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,attack-count-modifier,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-golem-bronze,construct,,8,19,9,6,4,,slam,2d10,crushing,,damage-modifier,1d6,damageType,DAMAGE_TYPE_FIRE,,,,,,,,cp-construct-metal,spike-damage,1d6,damageType,DAMAGE_TYPE_FIRE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,savingThrowAbility,ABILITY_DEXTERITY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,savingThrowThreat,THREAT_TYPE_FIRE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,maxDistance,15,
,,,,,,,,,,,,,,,,,,,,,,,,,damage-immunity,,damageType,DAMAGE_TYPE_FIRE,
,,,,,,,,,,,,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,attack-count-modifier,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-gorgon,monstrosity,,9,19,11,5,9,,hooves,2d10,crushing,,,,,,act-petrifying-breath,ca-petrifying-vapor,6,,30,FALSE,TRUE,,immunity,,immunityType,IMMUNITY_TYPE_PETRIFICATION,
,,,,,,,,,gore,2d12,piercing,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-griffon,monstrosity,,2,19,11,5,9,skill-perception,beak,1d8,piercing,,,,,,,,,,,,,,attack-count-modifier,1,,,
,,,,,,,,,claws,2d6,slashing,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-harpy,monstrosity,,0,12,13,8,12,,claws,2d4,slashing,,,,,,act-luring-song,ca-charm-chant,6,,300,FALSE,TRUE,,attack-count-modifier,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-hippogriff,monstrosity,,0,16,13,5,9,skill-perception,beak,1d10,piercing,,,,,,,,,,,,,,attack-count-modifier,1,,,
,,,,,,,,,claws,2d6,slashing,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-hydra,monstrosity,,4,20,12,5,8,,bite,1d10,piercing,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-manticore,monstrosity,,1,17,16,9,9,,bite,1d8,piercing,,,,,,,,,,,,,,attack-count-modifier,2,,,
,,,,,,,,,claws,1d6,slashing,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,spike,1d8,piercing,ranged,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-medusa,monstrosity,,3,12,15,12,14,,snake-hair,1d4+2,piercing,,damage-modifier,4d6,damageType,DAMAGE_TYPE_POISON,act-petrifying-gaze,ca-petrifying-gaze,2,,30,FALSE,TRUE,,attack-count-modifier,2,,,wpn-short-sword
,,,,,,,,,,,,,,,,,,,,,,,,,darkvision,,,,wpn-long-bow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ammo-arrow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-minotaur,monstrosity,,4,17,11,9,11,,gore,2d8,piercing,,,,,,act-charge,ca-charge,,,80,FALSE,TRUE,,darkvision,,,,wpn-great-axe
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-mummy,undead,,2,16,8,7,11,,rotting-fist,2d6,crushing,,damage-modifier,3d6,damageType,DAMAGE_TYPE_WITHERING,act-dreadful-glare,ca-frightful-glare,6,,60,FALSE,TRUE,cp-undead-corporeal,saving-throw-modifier,2,ability,ABILITY_WISDOM,
,,,,,,,,,,,,,ailment,,disease,DISEASE_MUMMY_ROT,,,,,,,,,damage-vulnerability,,damageType,DAMAGE_TYPE_FIRE,
,,,,,,,,,,,,,,,ailment,AILMENT_DISEASE,,,,,,,,,damage-immunity,,damageType,DAMAGE_TYPE_WITHERING,
,,,,,,,,,,,,,,,savingThrowAbility,ABILITY_CONSTITUTION,,,,,,,,,attack-count-modifier,1,,,
,,,,,,,,,,,,,,,savingThrowThreat,THREAT_TYPE_DISEASE,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-ogre,giant,,0,18,8,6,7,,great-club,2d8,piercing,reach,,,,,,,,,,,,,darkvision,,,,arm-hide
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-orc,humanoid,,0,16,12,8,10,,,,,,,,,,,,,,,,,,darkvision,,,,wpn-great-axe
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-rat-giant,beast,,0,8,15,7,3,,bite,1d6,piercing,,ailment,,disease,DISEASE_RAT_SICKNESS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ailment,AILMENT_DISEASE,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-skeleton,undead,,0,12,14,7,6,,,,,,,,,,,,,,,,,cp-undead-skeleton,,,,,arm-studded-leather
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wpn-short-sword
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wpn-short-bow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ammo-arrow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-skeleton-warrior,undead,,0,12,14,7,6,,,,,,,,,,,,,,,,,cp-undead-skeleton,,,,,arm-chain-shirt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wpn-short-sword-hq
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wpn-short-bow-hq
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ammo-arrow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-deva,celestial,,3,18,18,18,20,,,,,,,,,,act-heal,ca-heal,6,,100,TRUE,FALSE,cp-celestial,attack-count-modifier,1,,,wpn-mace-deva
,,,,,,,,,,,,,,,,,,,,,,,,cp-hard-skin,,,,,arm-splint
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-succubus,fiend,,2,10,17,14,17,,claws,1d6,slashing,finesse,,,,,act-charm,ca-stunning-glare,6,,30,FALSE,TRUE,cp-fiend,thinker,,combat,thinker-succubus,
,,,,,,,,,,,,,,,,,act-draining-kiss,ca-draining-kiss,3,,5,FALSE,TRUE,,damage-resistance,,damageType,DAMAGE_TYPE_ELECTRICITY,
,,,,,,,,,,,,,,,,,,,,,,,,,damage-resistance,,damageType,DAMAGE_TYPE_COLD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-vampire,undead,,2,18,18,16,17,,strike,1d8,crushing,finesse,,,,,act-charm,ca-stunning-glare,6,,30,FALSE,TRUE,cp-undead-corporeal,regeneration,20,vulnerabilities,"[""DAMAGE_TYPE_RADIANT""]",
,,,,,,,,,,,,,,,,,act-vampire-bite,ca-vampiric-bite,3,,5,FALSE,TRUE,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-troll,giant,,4,19,13,8,8,,claws,2d6,slashing,,,,,,,,,,,,,,regeneration,10,vulnerabilities,"[""DAMAGE_TYPE_FIRE"", ""DAMAGE_TYPE_ACID""]",
,,,,,,,,,bite,1d6,piercing,,,,,,,,,,,,,,attack-count-modifier,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-wight,undead,,0,15,14,11,14,,,,,,,,,,,,,,,,,cp-undead-corporeal,darkvision,,,,wpn-long-sword-wight
,,,,,,,,,,,,,,,,,,,,,,,,,attack-count-modifier,1,,,wpn-long-bow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arm-studded-leather
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-wyvern,dragon,,3,18,10,7,8,,bite,2d6,piercing,,,,,,,,,,,,,,darkvision,,,,
,,,,,,,,,claws,2d8,slashing,,,,,,,,,,,,,,attack-count-modifier,1,,,
,,,,,,,,,stinger,2d6,piercing,,ailment,7d6,ailment,AILMENT_POISON,,,,,,,,,,,,,
,,,,,,,,,,,,,,,savingThrowAbility,ABILITY_CONSTITUTION,,,,,,,,,,,,,
,,,,,,,,,,,,,,,savingThrowThreat,THREAT_TYPE_POISON,,,,,,,,,,,,,
,,,,,,,,,,,,,,,duration,3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-zombie,undead,,0,14,6,4,5,,slam,1d6,crushing,,,,,,,,,,,,,cp-undead-corporeal,darkvision,,,,
,,,,,,,,,,,,,,,,,,,,,,,,cp-mindless,,,,,
